Customer ID,Customer Name,Credit Limit,Segment,Region
CUST100,Customer 100,75000,Corporate,North
CUST101,Customer 101,75000,Distributor,Central
CUST102,Customer 102,10000,Retail,Sabah & Sarawak
CUST103,Customer 103,10000,Corporate,North
CUST104,Customer 104,10000,Distributor,Sabah & Sarawak
CUST105,Customer 105,10000,Corporate,North
CUST106,Customer 106,50000,Wholesale,North
CUST107,Customer 107,30000,Retail,South
CUST108,Customer 108,30000,Wholesale,North
CUST109,Customer 109,10000,Distributor,East
CUST110,Customer 110,30000,Wholesale,Central
CUST111,Customer 111,30000,Wholesale,Central
CUST112,Customer 112,10000,Distributor,Sabah & Sarawak
CUST113,Customer 113,30000,Corporate,North
CUST114,Customer 114,75000,Wholesale,East
CUST115,Customer 115,20000,Corporate,Sabah & Sarawak
CUST116,Customer 116,20000,Wholesale,South
CUST117,Customer 117,10000,Corporate,Sabah & Sarawak
CUST118,Customer 118,50000,Distributor,Sabah & Sarawak
CUST119,Customer 119,10000,Wholesale,North
CUST120,Customer 120,50000,Distributor,South
